Country,almond,angelica,anise,anise_seed,apple,apple_brandy,apricot,artichoke,asparagus,avocado,bacon,baked_potato,balm,banana,barley,bartlett_pear,basil,bay,bean,beef,beef_broth,beef_liver,beer,beet,bell_pepper,bergamot,berry,bitter_orange,black_bean,black_currant,black_mustard_seed_oil,black_pepper,black_raspberry,black_tea,blackberry,blackberry_brandy,blue_cheese,blueberry,bone_oil,bourbon_whiskey,brandy,brassica,bread,broccoli,brown_rice,brussels_sprout,buckwheat,butter,buttermilk,cabbage,cabernet_sauvignon_wine,cacao,camembert_cheese,cane_molasses,caraway,cardamom,carnation,carob,carrot,cashew,cassava,catfish,cauliflower,caviar,cayenne,celery,celery_oil,cereal,champagne_wine,chayote,cheddar_cheese,cheese,cherry,cherry_brandy,chervil,chicken,chicken_broth,chicken_liver,chickpea,chicory,chinese_cabbage,chive,cider,cilantro,cinnamon,citrus,clam,clove,cocoa,coconut,coconut_oil,cod,coffee,cognac,concord_grape,condiment,coriander,corn,corn_flake,corn_grit,cottage_cheese,crab,cranberry,cream,cream_cheese,cucumber,cumin,cured_pork,currant,date,dill,durian,egg,egg_noodle,elderberry,endive,fennel,fenugreek,feta_cheese,fig,fish,flower,frankfurter,fruit,galanga,garlic,gelatin,gin,ginger,goat_cheese,grape,grape_juice,grapefruit,green_bell_pepper,green_tea,guava,haddock,ham,hazelnut,herring,honey,hop,horseradish,huckleberry,jasmine,jasmine_tea,juniper_berry,kale,katsuobushi,kidney_bean,kiwi,kohlrabi,kumquat,lamb,lard,lavender,leaf,leek,lemon,lemon_juice,lemon_peel,lemongrass,lentil,lettuce,licorice,lilac_flower_oil,lima_bean,lime,lime_juice,lime_peel_oil,lingonberry,litchi,liver,lobster,lovage,macadamia_nut,macaroni,mace,malt,mandarin,mandarin_peel,mango,maple_syrup,marjoram,mate,meat,melon,milk,milk_fat,mint,mozzarella_cheese,mung_bean,munster_cheese,mushroom,mussel,mustard,mutton,nectarine,nut,nutmeg,oat,oatmeal,octopus,okra,olive,olive_oil,onion,orange,orange_flower,orange_juice,orange_peel,oregano,ouzo,oyster,palm,papaya,parmesan_cheese,parsley,parsnip,passion_fruit,pea,peach,peanut,peanut_butter,peanut_oil,pear,pear_brandy,pecan,pepper,peppermint,peppermint_oil,pimenta,pimento,pineapple,pistachio,plum,popcorn,porcini,pork,pork_liver,pork_sausage,port_wine,potato,potato_chip,prawn,prickly_pear,provolone_cheese,pumpkin,quince,radish,raisin,raspberry,red_kidney_bean,red_wine,rhubarb,rice,roasted_almond,roasted_beef,roasted_hazelnut,roasted_meat,roasted_peanut,roasted_pork,roasted_sesame_seed,romano_cheese,root,roquefort_cheese,rose,rosemary,rum,rutabaga,rye_bread,rye_flour,saffron,sage,sake,salmon,salmon_roe,sassafras,sauerkraut,savory,scallion,scallop,seaweed,seed,sesame_oil,sesame_seed,shallot,shellfish,sherry,shiitake,shrimp,smoke,smoked_salmon,smoked_sausage,sour_cherry,sour_milk,soy_sauce,soybean,soybean_oil,spearmint,squash,squid,star_anise,starch,strawberry,sumac,sunflower_oil,sweet_potato,swiss_cheese,tabasco_pepper,tamarind,tangerine,tarragon,tea,tequila,thai_pepper,thyme,tomato,tomato_juice,truffle,tuna,turkey,turmeric,turnip,vanilla,veal,vegetable,vegetable_oil,vinegar,violet,walnut,wasabi,watercress,watermelon,wheat,wheat_bread,whiskey,white_bread,white_wine,whole_grain_wheat_flour,wine,wood,yam,yeast,yogurt,zucchini
Japan,0,0,0,0,0,0,1,0,1,4,1,0,0,0,12,0,1,0,5,8,2,0,0,0,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,5,1,1,0,3,12,0,5,0,0,0,8,0,0,0,0,11,0,0,0,0,0,3,4,4,0,0,0,0,1,1,0,0,10,4,0,0,0,0,3,0,2,1,2,1,0,0,2,0,0,0,0,0,0,0,5,0,0,0,2,0,2,3,11,0,0,0,0,0,0,32,0,0,0,0,0,0,0,5,0,0,0,0,32,0,0,24,0,0,1,0,2,4,0,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,8,0,1,0,0,2,1,0,0,0,0,0,4,18,3,0,0,0,0,0,0,0,0,0,4,0,0,2,0,1,0,2,0,0,1,11,0,0,0,0,0,0,0,0,0,8,0,1,0,2,0,0,0,0,1,0,0,1,0,0,2,0,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,17,0,14,0,17,11,2,0,1,5,3,0,1,0,0,0,55,16,0,0,0,0,0,7,0,0,0,0,0,1,1,0,0,0,0,1,0,5,0,0,2,0,0,0,7,0,0,38,34,0,1,3,1,0,18,0,0,0,1,0,21,0,0,1,1,1
Korean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,37,3,0,0,0,9,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,15,0,0,0,12,0,0,0,0,18,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,3,0,0,15,0,0,0,0,0,0,0,9,0,0,0,0,65,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,25,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,28,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,9,0,56,40,6,0,0,3,9,0,0,0,0,0,78,12,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,31,28,0,0,0,0,0,9,0,0,0,3,0,15,0,0,0,0,6
Mediterranean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,14,0,0,0,0,19,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0,17,0,2,0,0,0,6,0,6,0,0,6,0,0,0,2,0,6,4,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,6,10,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,4,2,10,12,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,10,42,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,12,2,23,2,0,0,4,0,0,0,0,4,2,2,0,0,0,2,55,46,2,2,0,0,0,0,0,0,0,0,31,0,0,2,0,0,0,0,0,0,0,17,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,2,0,4,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0,2,0,4,0,0,17,8,0,8,0,0,0,31,0,0,0,2,2,0,0,0,8,17,2
Mexican,1,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,3,1,13,20,1,0,0,0,24,0,0,0,8,0,0,21,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,12,1,1,0,0,0,5,0,0,0,0,2,0,0,0,0,0,74,5,1,0,0,0,25,20,0,0,0,15,7,0,0,0,0,0,1,20,3,0,0,0,1,0,0,0,0,0,0,0,0,30,0,1,1,0,0,20,5,1,33,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,64,0,0,1,0,0,0,0,15,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,1,4,0,0,0,7,0,0,0,6,10,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,10,0,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,11,12,71,1,0,1,0,20,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,4,0,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,3,0,0,0,3,0,1,62,0,0,0,3,0,0,2,0,1,24,12,0,0,0,0,0,24,0,0,0,1,0,0,0,0,2,0,2
Middle_East,6,0,0,0,6,0,0,0,3,3,0,0,0,0,3,0,0,0,3,10,0,0,0,0,0,0,0,0,3,0,0,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,20,0,0,0,0,0,0,0,16,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,13,10,0,3,0,0,0,0,13,10,0,0,0,3,6,0,0,0,0,0,0,6,0,0,0,0,0,0,10,0,10,13,0,0,3,13,0,16,0,0,0,0,3,0,0,0,0,0,3,0,23,0,0,6,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,10,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,16,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,23,46,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,3,16,0,3,0,0,23,3,0,20,0,0,0,23,0,0,0,0,0,0,0,0,0,20,0
North_African,11,0,1,0,1,0,8,0,0,0,0,0,0,0,0,0,0,3,8,8,1,0,0,0,30,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,6,6,0,0,20,0,0,0,1,0,38,10,0,0,0,0,0,1,0,0,1,21,11,0,21,0,0,0,0,11,26,0,0,0,0,5,0,0,0,0,0,0,26,1,0,0,0,0,1,6,1,3,48,0,0,1,0,0,16,0,0,0,0,3,1,0,3,0,0,0,0,46,0,0,20,1,0,0,0,11,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,3,0,0,0,15,8,0,0,0,18,20,0,0,6,0,0,0,0,1,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,8,1,10,0,0,0,1,0,1,0,0,3,5,0,0,0,0,13,50,55,3,1,5,0,3,0,0,0,0,5,20,3,0,3,1,0,0,0,1,0,1,30,0,0,0,1,0,1,1,0,0,0,0,0,0,8,0,0,0,0,0,0,1,15,0,0,1,0,6,0,0,0,0,1,0,5,0,0,0,5,1,0,1,0,0,5,0,0,1,0,0,0,0,5,0,0,5,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,5,0,0,0,3,0,0,0,0,0,0,0,1,1,43,0,0,0,0,18,1,3,0,6,26,5,0,5,0,0,0,30,0,0,0,0,1,0,0,0,3,3,13
Portuguese_Spanish,4,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,4,8,9,8,1,0,0,0,37,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,17,0,6,0,0,0,3,0,0,0,0,6,0,0,0,0,0,15,4,4,0,0,0,1,0,1,0,0,13,8,0,4,0,0,1,1,2,8,0,5,0,1,0,0,1,0,0,0,0,2,7,0,0,0,0,0,1,0,8,8,0,0,1,0,0,30,0,0,0,0,2,0,0,2,0,0,0,0,47,2,0,0,0,0,1,0,15,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,5,0,0,0,15,4,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,3,0,0,0,1,3,0,0,0,0,7,46,55,6,0,5,0,4,0,0,0,0,0,20,0,0,7,1,0,0,0,0,0,0,28,0,0,1,3,1,0,0,0,0,4,0,16,1,21,0,0,0,0,0,1,0,1,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,7,3,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,1,0,1,0,0,0,4,37,3,0,4,0,2,0,4,0,1,8,18,0,0,0,0,0,20,0,0,0,12,0,2,0,0,7,0,0
Scandinavia,22,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,70,4,3,0,0,0,11,4,15,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,18,1,0,0,3,1,0,0,1,0,0,0,0,4,0,0,0,0,0,27,0,1,1,0,0,0,3,0,59,0,0,0,1,0,0,0,2,0,0,1,0,2,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,0,0,10,7,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,3,0,0,3,9,0,0,0,0,0,0,0,6,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,17,0,0,5,5,0,4,0,0,0,74,0,0,0,0,1,0,0,0,12,0,0
South_African,6,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,37,0,31,12,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,37,0,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,18,0,0,0,6,6,0,6,0,0,0,0,37,0,0,0,0,0,0,12,0,0,37,0,0,0,0,0,31,0,0,0,0,37,0,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,37,0,6,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,6,0,0,18,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,12,0,0,0,0,43,0,18,0,0,25,37,0,0,0,0,0,25,0,0,6,0,0,0,0,0,0,6,0
South_American,0,0,0,0,1,0,0,0,0,1,3,0,0,4,0,0,1,3,0,10,2,0,0,1,19,0,0,0,6,0,0,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,18,0,0,0,0,0,2,0,0,0,0,14,0,0,0,0,0,18,6,0,0,0,0,0,2,0,0,0,13,9,0,0,0,0,0,0,13,8,0,0,0,2,9,0,0,1,0,0,0,1,8,0,0,0,0,0,5,0,0,18,0,0,0,1,0,34,0,0,0,0,0,0,0,2,0,0,0,0,36,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,8,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31,4,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,21,42,0,0,7,0,6,0,0,0,0,3,13,0,0,4,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,4,0,2,0,15,0,0,0,0,0,0,0,3,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,19,0,0,0,0,3,0,10,0,3,23,12,0,1,0,0,0,22,0,0,2,2,0,0,0,0,1,0,0
South_Asian,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,26,0,0,0,0,26,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,4,0,0,0,0,0,39,0,0,8,4,0,0,0,0,69,4,0,0,0,0,0,0,0,0,0,34,4,0,4,0,0,0,0,43,30,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,4,0,0,60,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,82,0,0,60,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,13,78,4,0,0,0,0,0,0,0,0,0,0,4,0,17,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,4,0,0,0,0,0,8,0,0,0,0,30,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,65,0,0,0,0,69,13,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,30,8
Southeast_Asian,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,4,13,11,0,0,0,0,15,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,7,0,5,0,0,0,11,0,0,0,0,15,1,0,0,0,0,36,3,3,0,0,0,0,1,0,0,0,35,11,0,0,0,0,2,2,31,3,0,0,0,0,28,0,0,0,0,0,0,20,6,0,0,0,2,0,3,0,9,19,0,0,0,0,0,17,0,0,0,0,13,0,0,37,0,0,0,4,63,0,0,32,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,14,0,5,0,0,0,15,17,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,7,0,7,0,0,0,7,0,2,0,0,3,0,0,0,0,0,0,9,35,0,0,0,0,1,0,5,0,0,0,2,0,0,3,0,11,14,4,0,0,0,30,0,0,0,0,1,0,0,0,0,9,0,0,0,3,0,1,0,0,1,0,1,1,0,0,0,0,28,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,0,0,0,12,3,4,0,1,1,13,0,0,0,0,0,39,6,0,0,0,0,1,6,0,0,0,0,0,3,5,0,0,0,0,7,0,12,0,0,0,0,16,0,3,0,1,35,22,0,0,0,1,0,11,0,0,0,3,0,4,0,0,1,0,1
West_African,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,38,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,7,0,0,0,0,15,0,7,0,0,0,61,0,0,0,0,0,0,0,0,0,0,30,30,0,15,0,0,0,0,7,7,0,0,0,0,15,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,30,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,7,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,7,0,0,0,0,0,7,61,0,0,0,0,0,0,0,0,15,38,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,7
Western_Europeean,14,0,6,0,9,0,1,0,0,0,9,0,0,0,0,0,0,5,0,11,2,0,1,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,52,2,5,0,0,0,15,2,2,0,0,4,0,0,0,0,0,1,5,0,0,0,0,2,3,2,0,0,2,2,0,0,0,0,0,4,0,22,4,0,0,6,0,0,0,1,0,0,0,1,2,0,0,0,0,0,15,1,0,1,0,0,0,2,0,64,1,0,0,0,1,0,0,0,0,0,2,0,6,0,0,5,0,0,0,0,0,0,0,0,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,30,0,0,0,0,0,3,0,5,0,0,2,13,0,0,0,0,0,0,28,2,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,2,0,0,2,0,2,0,13,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,16,1,0,14,14,0,5,0,0,0,71,0,0,0,3,0,0,0,0,10,0,0
